"Sample","Location","meanlog","sdlog","AIC_ln","BIC_ln","lL_ln","R2_ln","top20"
"IUB2501","Ulake",9.70230747982995,0.438702270851986,205950.135271883,205964.555952627,-102973.067635941,0.934337637903923,0.399203216245963
"IUB2506","Ulake",8.77386057592669,0.378777906237737,184443.76919458,184458.189875324,-92219.8845972902,0.99005637977779,0.33846592596997
"IUB2507","Ulake",9.95676331668497,0.749771864613804,221758.281165877,221772.701846621,-110877.140582939,0.977272721528678,0.528842274296454
"IUB2508","Ulake",9.33355420654285,0.514120747255626,201747.854659213,201762.275339957,-100871.927329607,0.994094077316895,0.365300719579072
"IUB2509","Ulake",9.62346386971781,0.588030175243245,210232.542402738,210246.963083482,-105114.271201369,0.965891657130559,0.364961942747868
"IUB2510","Ulake",9.50473578229171,0.359301262500492,198005.472069056,198019.8927498,-99000.7360345279,0.977509951796374,0.358554299199035
"IUB2512","Ulake",10.1415774176744,0.532223924275491,218600.416895272,218614.837576016,-109298.208447636,0.99820949101099,0.384877371394632
"IUB2513","Ulake",9.29350335581746,1.11287917528985,50379.0846352684,50390.5901648861,-25187.5423176342,0.950554614704237,0.735078835304906
"IUB2516","Ulake",9.85266403998329,0.589873653434996,214879.065503852,214893.486184596,-107437.532751926,0.879057452290546,0.517126019107401
"IUB2518","Ulake",9.49741768854288,0.36384871591117,198110.675648617,198125.096329361,-99053.3378243083,0.994529415571305,0.357465251655891
"IUB2519","Ulake",8.9741823385442,0.494175363896618,193769.757131755,193784.177812499,-96882.8785658777,0.990259893765035,0.385984064661771
"IUB2523","Ulake",9.7558857390896,0.436868111963465,206937.875054513,206952.295735257,-103466.937527256,0.884272537257061,0.385437629043501
"IUB2524","Ulake",10.6513527080286,0.447514829764334,225328.824950489,225343.245631233,-112662.412475245,0.929724366508428,0.30548920090385
"IUB2528","Ulake",10.1939368688411,0.402062429338588,214038.447424976,214052.86810572,-107017.223712488,0.993234192378597,0.326504260316736
"IUB2531","Ulake",10.2045372479194,0.651284800617657,223897.312162667,223911.732843411,-111946.656081334,0.986968825323385,0.394679052145905
"IUB2536","Ulake",9.25791649559679,0.963765084335941,212802.938780691,212817.359461435,-106399.469390346,0.936110054085829,0.542320648442253
"KBS1023","KBS",9.89442515830109,0.494176519079216,212173.732599226,212188.15327997,-106084.866299613,0.947277804331445,0.339922701756385
"KBS1027","KBS",9.9896875626494,0.524780595470993,215281.008676615,215295.429357359,-107638.504338308,0.996253747489795,0.356793972927847
"KBS1029","KBS",10.3578087197729,0.50486874540172,221869.73094857,221884.151629314,-110932.865474285,0.974218364299655,0.3840992654956
"KBS1032","KBS",10.3025191343186,0.35592864050565,213772.519742286,213786.940423029,-106884.259871143,0.994557948148495,0.31057233408238
"KBS1033","KBS",10.4365730550919,0.454396476749864,221338.42783748,221352.848518224,-110667.21391874,0.959485680744858,0.326081230718253
"KBS1048","KBS",9.2304757348987,0.402079425061074,194770.690557717,194785.111238461,-97383.3452788586,0.99616946320675,0.32389656067376
"KBS1052","KBS",9.79925691221923,0.495120968764534,210308.780475355,210323.201156099,-105152.390237678,0.985963203292029,0.381773041818116
