habitat,ID,strain,genus,Sample,Location,meanlog,sdlog,AIC_ln,BIC_ln,lL_ln,R2_ln,top20
computer,outgroup,Methanosarcina,Methanosarcina,computer,computer,NA,NA,NA,NA,NA,NA,NA
surface,Surf1,IUB2501,Duganella,IUB2501,UL,9.70230748,0.438702271,205950.1353,205964.556,-102973.0676,0.934337638,0.399203216
surface,Surf6,IUB2506,Stenotrophomonas,IUB2506,UL,8.773860576,0.378777906,184443.7692,184458.1899,-92219.8846,0.99005638,0.338465926
surface,Surf7,IUB2507,Emedobacter,IUB2507,UL,9.956763317,0.749771865,221758.2812,221772.7018,-110877.1406,0.977272722,0.528842274
surface,Surf8,IUB2508,Rhenheimera,IUB2508,UL,9.333554207,0.514120747,201747.8547,201762.2753,-100871.9273,0.994094077,0.36530072
surface,Surf9,IUB2509,Acinetobacter,IUB2509,UL,9.62346387,0.588030175,210232.5424,210246.9631,-105114.2712,0.965891657,0.364961943
surface,Surf10,IUB2510,Massilia,IUB2510,UL,9.504735782,0.359301263,198005.4721,198019.8927,-99000.73603,0.977509952,0.358554299
surface,Surf12,IUB2512,Chryseobacterium,IUB2512,UL,10.14157742,0.532223924,218600.4169,218614.8376,-109298.2084,0.998209491,0.384877371
surface,Surf13,IUB2513,Bacillus,IUB2513,UL,9.293503356,1.112879175,50379.08464,50390.59016,-25187.54232,0.950554615,0.735078835
surface,Surf16,IUB2516,Flavobacterium,IUB2516,UL,9.85266404,0.589873653,214879.0655,214893.4862,-107437.5328,0.879057452,0.517126019
surface,Surf18,IUB2518,Roseateles,IUB2518,UL,9.497417689,0.363848716,198110.6756,198125.0963,-99053.33782,0.994529416,0.357465252
surface,Surf19,IUB2519,Pseudomonas,IUB2519,UL,8.974182339,0.494175364,193769.7571,193784.1778,-96882.87857,0.990259894,0.385984065
sediment,Sed2,IUB2523,Aeromonas,IUB2523,UL,9.755885739,0.436868112,206937.8751,206952.2957,-103466.9375,0.884272537,0.385437629
sediment,Sed3,IUB2524,Lysinibacillus,IUB2524,UL,10.65135271,0.44751483,225328.825,225343.2456,-112662.4125,0.929724367,0.305489201
sediment,Sed7,IUB2528,Raoultella,IUB2528,UL,10.19393687,0.402062429,214038.4474,214052.8681,-107017.2237,0.993234192,0.32650426
sediment,Sed10,IUB2531,Vogesella,IUB2531,UL,10.20453725,0.651284801,223897.3122,223911.7328,-111946.6561,0.986968825,0.394679052
sediment,Sed15,IUB2536,Priestia,IUB2536,UL,9.257916496,0.963765084,212802.9388,212817.3595,-106399.4694,0.936110054,0.542320648
surface,WG56,KBS1023,Sphingomonas,KBS1023,UL,9.894425158,0.494176519,212173.7326,212188.1533,-106084.8663,0.947277804,0.339922702
surface,LL13,KBS1027,Vogesella,KBS1027,UL,9.989687563,0.524780595,215281.0087,215295.4294,-107638.5043,0.996253747,0.356793973
surface,LL37,KBS1029,Pelomonas,KBS1029,UL,10.35780872,0.504868745,221869.7309,221884.1516,-110932.8655,0.974218364,0.384099265
surface,WG36,KBS1032,Serratia,KBS1032,UL,10.30251913,0.355928641,213772.5197,213786.9404,-106884.2599,0.994557948,0.310572334
surface,WG27,KBS1033,Shewanella,KBS1033,UL,10.43657306,0.454396477,221338.4278,221352.8485,-110667.2139,0.959485681,0.326081231
surface,WG23A,KBS1048,Brevundimonas,KBS1048,UL,9.230475735,0.402079425,194770.6906,194785.1112,-97383.34528,0.996169463,0.323896561
surface,WG26,KBS1052,Rhodococcus,KBS1052,UL,9.799256912,0.495120969,210308.7805,210323.2012,-105152.3902,0.985963203,0.381773042
